A00	Cholera
R46.5	Suspiciousness and marked evasiveness
R46.6	Undue concern and preoccupation with stressful events
R46.7	Verbosity and circumstantial detail obscuring reason for contact
R46.8	Other symptoms and signs involving appearance and behavior
R46.81	Obsessive-compulsive behavior
R46.89	Other symptoms and signs involving appearance and behavior
R47	Speech disturbances, not elsewhere classified
R47.0	Dysphasia and aphasia
R47.01	Aphasia
R47.02	Dysphasia
R47.1	Dysarthria and anarthria
R47.8	Other speech disturbances
R47.81	Slurred speech
R47.82	Fluency disorder in conditions classified elsewhere
R47.89	Other speech disturbances
R47.9	Unspecified speech disturbances
R48	Dyslexia and other symbolic dysfunctions, not elsewhere classified
R48.0	Dyslexia and alexia
R48.1	Agnosia
R48.2	Apraxia
R48.3	Visual agnosia
R48.8	Other symbolic dysfunctions
R48.9	Unspecified symbolic dysfunctions
R49	Voice and resonance disorders
R49.0	Dysphonia
R49.1	Aphonia
R49.2	Hypernasality and hyponasality
R49.21	Hypernasality
R49.22	Hyponasality
R49.8	Other voice and resonance disorders
R49.9	Unspecified voice and resonance disorder
R50	Fever of other and unknown origin
R50.2	Drug induced fever
R50.8	Other specified fever
R50.81	Fever presenting with conditions classified elsewhere
R50.82	Postprocedural fever
R50.83	Postvaccination fever
R50.84	Febrile nonhemolytic transfusion reaction
R50.9	Fever, unspecified
R51	Headache
R52	Pain, unspecified
R53	Malaise and fatigue
R53.0	Neoplastic (malignant) related fatigue
R53.1	Weakness
R53.2	Functional quadriplegia
R53.8	Other malaise and fatigue
R53.81	Other malaise
R53.82	Chronic fatigue, unspecified
R53.83	Other fatigue
R54	Age-related physical debility
R55	Syncope and collapse
R56	Convulsions, not elsewhere classified
R56.0	Febrile convulsions
R56.00	Simple febrile convulsions
R56.01	Complex febrile convulsions
R56.1	Post traumatic seizures
R56.9	Unspecified convulsions
R57	Shock, not elsewhere classified
R57.0	Cardiogenic shock
R57.1	Hypovolemic shock
R57.8	Other shock
R57.9	Shock, unspecified
R58	Hemorrhage, not elsewhere classified
R59	Enlarged lymph nodes
R59.0	Localized enlarged lymph nodes
R59.1	Generalized enlarged lymph nodes
R59.9	Enlarged lymph nodes, unspecified
R60	Edema, not elsewhere classified
R60.0	Localized edema
R60.1	Generalized edema
R60.9	Edema, unspecified
R61	Generalized hyperhidrosis
R62	Lack of expected normal physiological development in childhood and adults
R62.0	Delayed milestone in childhood
R62.5	Other and unspecified lack of expected normal physiological development in childhood
R62.50	Unspecified lack of expected normal physiological development in childhood
R62.51	Failure to thrive (child)
R62.52	Short stature (child)
R62.59	Other lack of expected normal physiological development in childhood
R62.7	Adult failure to thrive
R63	Symptoms and signs concerning food and fluid intake
R63.0	Anorexia
R63.1	Polydipsia
R63.2	Polyphagia
R63.3	Feeding difficulties
R63.4	Abnormal weight loss
R63.5	Abnormal weight gain
R63.6	Underweight
R63.8	Other symptoms and signs concerning food and fluid intake
R64	Cachexia
R65	Symptoms and signs specifically associated with systemic inflammation and infection
R65.1	Systemic inflammatory response syndrome (SIRS) of non-infectious origin
R65.10	Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction
R65.11	Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction
R65.2	Severe sepsis
R65.20	Severe sepsis without septic shock
R65.21	Severe sepsis with septic shock
R68	Other general symptoms and signs
R68.0	Hypothermia, not associated with low environmental temperature
R68.1	Nonspecific symptoms peculiar to infancy
R68.11	Excessive crying of infant (baby)
R68.12	Fussy infant (baby)
R68.13	Apparent life threatening event in infant (ALTE)
R68.19	Other nonspecific symptoms peculiar to infancy
R68.2	Dry mouth, unspecified
R68.3	Clubbing of fingers
R68.8	Other general symptoms and signs
R68.81	Early satiety
R68.82	Decreased libido
R68.83	Chills (without fever)
R68.84	Jaw pain
R68.89	Other general symptoms and signs
R69	Illness, unspecified
R70	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
R70.0	Elevated erythrocyte sedimentation rate
R70.1	Abnormal plasma viscosity
R71	Abnormality of red blood cells
R71.0	Precipitous drop in hematocrit
R71.8	Other abnormality of red blood cells
R73	Elevated blood glucose level
R73.0	Abnormal glucose
R73.01	Impaired fasting glucose
R73.02	Impaired glucose tolerance (oral)
R73.09	Other abnormal glucose
R73.9	Hyperglycemia, unspecified
R74	Abnormal serum enzyme levels
R74.0	Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]
R74.8	Abnormal levels of other serum enzymes
R74.9	Abnormal serum enzyme level, unspecified
R75	Inconclusive laboratory evidence of human immunodeficiency virus [HIV]
R76	Other abnormal immunological findings in serum
R76.0	Raised antibody titer
R76.1	Nonspecific reaction to test for tuberculosis
R76.11	Nonspecific reaction to tuberculin skin test without active tuberculosis
R76.12	Nonspecific reaction to cell mediated immunity measurement of gamma interferon antigen response without active tuberculosis
R76.8	Other specified abnormal immunological findings in serum
R76.9	Abnormal immunological finding in serum, unspecified
R77	Other abnormalities of plasma proteins
R77.0	Abnormality of albumin
R77.1	Abnormality of globulin
R77.2	Abnormality of alphafetoprotein
R77.8	Other specified abnormalities of plasma proteins
R77.9	Abnormality of plasma protein, unspecified
R78	Findings of drugs and other substances, not normally found in blood
R78.0	Finding of alcohol in blood
R78.1	Finding of opiate drug in blood
R78.2	Finding of cocaine in blood
R78.3	Finding of hallucinogen in blood
R78.4	Finding of other drugs of addictive potential in blood
R78.5	Finding of other psychotropic drug in blood
R78.6	Finding of steroid agent in blood
R78.7	Finding of abnormal level of heavy metals in blood
R78.71	Abnormal lead level in blood
R78.79	Finding of abnormal level of heavy metals in blood
R78.8	Finding of other specified substances, not normally found in blood
R78.81	Bacteremia
R78.89	Finding of other specified substances, not normally found in blood
R78.9	Finding of unspecified substance, not normally found in blood
R79	Other abnormal findings of blood chemistry
R79.0	Abnormal level of blood mineral
R79.1	Abnormal coagulation profile
R79.8	Other specified abnormal findings of blood chemistry
R79.81	Abnormal blood-gas level
R79.82	Elevated C-reactive protein (CRP)
R79.89	Other specified abnormal findings of blood chemistry
R79.9	Abnormal finding of blood chemistry, unspecified
R80	Proteinuria
R80.0	Isolated proteinuria
R80.1	Persistent proteinuria, unspecified
R80.2	Orthostatic proteinuria, unspecified
R80.3	Bence Jones proteinuria
R80.8	Other proteinuria
R80.9	Proteinuria, unspecified
R81	Glycosuria
R82	Other and unspecified abnormal findings in urine
R82.0	Chyluria
R82.1	Myoglobinuria
R82.2	Biliuria
R82.3	Hemoglobinuria
R82.4	Acetonuria
R82.5	Elevated urine levels of drugs, medicaments and biological substances
R82.6	Abnormal urine levels of substances chiefly nonmedicinal as to source
R82.7	Abnormal findings on microbiological examination of urine
R82.8	Abnormal findings on cytological and histological examination of urine
R82.9	Other and unspecified abnormal findings in urine
R82.90	Unspecified abnormal findings in urine
R82.91	Other chromoabnormalities of urine
R82.99	Other abnormal findings in urine
R83	Abnormal findings in cerebrospinal fluid
R83.0	Abnormal level of enzymes in cerebrospinal fluid
R83.1	Abnormal level of hormones in cerebrospinal fluid
R83.2	Abnormal level of other drugs, medicaments and biological substances in cerebrospinal fluid
R83.3	Abnormal level of substances chiefly nonmedicinal as to source in cerebrospinal fluid
R83.4	Abnormal immunological findings in cerebrospinal fluid
R83.5	Abnormal microbiological findings in cerebrospinal fluid
R83.6	Abnormal cytological findings in cerebrospinal fluid
R83.8	Other abnormal findings in cerebrospinal fluid
R83.9	Unspecified abnormal finding in cerebrospinal fluid
R84	Abnormal findings in specimens from respiratory organs and thorax
R84.0	Abnormal level of enzymes in specimens from respiratory organs and thorax
R84.1	Abnormal level of hormones in specimens from respiratory organs and thorax
R84.2	Abnormal level of other drugs, medicaments and biological substances in specimens from respiratory organs and thorax
R84.3	Abnormal level of substances chiefly nonmedicinal as to source in specimens from respiratory organs and thorax
R84.4	Abnormal immunological findings in specimens from respiratory organs and thorax
R84.5	Abnormal microbiological findings in specimens from respiratory organs and thorax
R84.6	Abnormal cytological findings in specimens from respiratory organs and thorax
R84.7	Abnormal histological findings in specimens from respiratory organs and thorax
R84.8	Other abnormal findings in specimens from respiratory organs and thorax
R84.9	Unspecified abnormal finding in specimens from respiratory organs and thorax
R85	Abnormal findings in specimens from digestive organs and abdominal cavity
R85.0	Abnormal level of enzymes in specimens from digestive organs and abdominal cavity
R85.1	Abnormal level of hormones in specimens from digestive organs and abdominal cavity
R85.2	Abnormal level of other drugs, medicaments and biological substances in specimens from digestive organs and abdominal cavity
R85.3	Abnormal level of substances chiefly nonmedicinal as to source in specimens from digestive organs and abdominal cavity
R85.4	Abnormal immunological findings in specimens from digestive organs and abdominal cavity
R85.5	Abnormal microbiological findings in specimens from digestive organs and abdominal cavity
R85.6	Abnormal cytological findings in specimens from digestive organs and abdominal cavity
R85.61	Abnormal cytologic smear of anus
R85.610	Atypical squamous cells of undetermined significance on cytologic smear of anus (ASC-US)
R85.611	Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of anus (ASC-H)
R85.612	Low grade squamous intraepithelial lesion on cytologic smear of anus (LGSIL)
R85.613	High grade squamous intraepithelial lesion on cytologic smear of anus (HGSIL)
R85.614	Cytologic evidence of malignancy on smear of anus
R85.615	Unsatisfactory cytologic smear of anus
R85.616	Satisfactory anal smear but lacking transformation zone
R85.618	Other abnormal cytological findings on specimens from anus
R85.619	Unspecified abnormal cytological findings in specimens from anus
R85.69	Abnormal cytological findings in specimens from other digestive organs and abdominal cavity
R85.7	Abnormal histological findings in specimens from digestive organs and abdominal cavity
R85.8	Other abnormal findings in specimens from digestive organs and abdominal cavity
R85.81	Anal high risk human papillomavirus (HPV) DNA test positive
R85.82	Anal low risk human papillomavirus (HPV) DNA test positive
R85.89	Other abnormal findings in specimens from digestive organs and abdominal cavity
R85.9	Unspecified abnormal finding in specimens from digestive organs and abdominal cavity
R86	Abnormal findings in specimens from male genital organs
R86.0	Abnormal level of enzymes in specimens from male genital organs
R86.1	Abnormal level of hormones in specimens from male genital organs
R86.2	Abnormal level of other drugs, medicaments and biological substances in specimens from male genital organs
R86.3	Abnormal level of substances chiefly nonmedicinal as to source in specimens from male genital organs
R86.4	Abnormal immunological findings in specimens from male genital organs
R86.5	Abnormal microbiological findings in specimens from male genital organs
R86.6	Abnormal cytological findings in specimens from male genital organs
R86.7	Abnormal histological findings in specimens from male genital organs
R86.8	Other abnormal findings in specimens from male genital organs
R86.9	Unspecified abnormal finding in specimens from male genital organs
R87	Abnormal findings in specimens from female genital organs
R87.0	Abnormal level of enzymes in specimens from female genital organs
R87.1	Abnormal level of hormones in specimens from female genital organs
R87.2	Abnormal level of other drugs, medicaments and biological substances in specimens from female genital organs
R87.3	Abnormal level of substances chiefly nonmedicinal as to source in specimens from female genital organs
R87.4	Abnormal immunological findings in specimens from female genital organs
R87.5	Abnormal microbiological findings in specimens from female genital organs
R87.6	Abnormal cytological findings in specimens from female genital organs
R87.61	Abnormal cytological findings in specimens from cervix uteri
R87.610	Atypical squamous cells of undetermined significance on cytologic smear of cervix (ASC-US)
R87.611	Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of cervix (ASC-H)
R87.612	Low grade squamous intraepithelial lesion on cytologic smear of cervix (LGSIL)
R87.613	High grade squamous intraepithelial lesion on cytologic smear of cervix (HGSIL)
R87.614	Cytologic evidence of malignancy on smear of cervix
R87.615	Unsatisfactory cytologic smear of cervix
R87.616	Satisfactory cervical smear but lacking transformation zone
R87.618	Other abnormal cytological findings on specimens from cervix uteri
R87.619	Unspecified abnormal cytological findings in specimens from cervix uteri
R87.62	Abnormal cytological findings in specimens from vagina
R87.620	Atypical squamous cells of undetermined significance on cytologic smear of vagina (ASC-US)
R87.621	Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of vagina (ASC-H)
R87.622	Low grade squamous intraepithelial lesion on cytologic smear of vagina (LGSIL)
R87.623	High grade squamous intraepithelial lesion on cytologic smear of vagina (HGSIL)
R87.624	Cytologic evidence of malignancy on smear of vagina
R87.625	Unsatisfactory cytologic smear of vagina
R87.628	Other abnormal cytological findings on specimens from vagina
R87.629	Unspecified abnormal cytological findings in specimens from vagina
R87.69	Abnormal cytological findings in specimens from other female genital organs
R87.7	Abnormal histological findings in specimens from female genital organs
R87.8	Other abnormal findings in specimens from female genital organs
R87.81	High risk human papillomavirus (HPV) DNA test positive from female genital organs
R87.810	Cervical high risk human papillomavirus (HPV) DNA test positive
R87.811	Vaginal high risk human papillomavirus (HPV) DNA test positive
R87.82	Low risk human papillomavirus (HPV) DNA test positive from female genital organs
